   Ordinate,   Date / Time,Hopland Gage FLOW,Russian 60 ET-POTENTIAL,Russian 60 FLOW,Russian 60 FLOW-BASE,Russian 60 INFILTRATION,Russian 60 PERC-SOIL,Russian 60 SATURATION FRACTION,Russian 70 ET-POTENTIAL,Russian 70 FLOW,Russian 70 FLOW-BASE,Russian 70 INFILTRATION,Russian 70 PERC-SOIL,Russian 70 SATURATION FRACTION,WF Russian ET-POTENTIAL,WF Russian FLOW,WF Russian FLOW-BASE,WF Russian INFILTRATION,WF Russian PERC-SOIL,WF Russian SATURATION FRACTION,Lake Mendocino Storage
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,
Units, ,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,ACRFT
Type, ,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM
1,1-Oct-94,153,0.0331,0,0,0,0,0,0.0331,0,0,0,0,0,0.0283,0,0,0,0,0,43611.00
2,2-Oct-94,153,0.0554,0,0,0,0,0,0.0554,0,0,0,0,0,0.0475,0,0,0,0,0,43449.00
3,3-Oct-94,153,0.0487,0,0,0,0,0,0.0487,0,0,0,0,0,0.0417,0,0,0,0,0,43258.00
4,4-Oct-94,147.1886,0.0131,0.2729,0,0.1088,0,0.006,0.013,0.6341,0,0.0163,0,0.0008,0.0112,0,0,0,0,0,43082.00
5,5-Oct-94,133.9202,0.0267,0.3386,0,0,0,0.0155,0.0267,0.7336,0,0,0,0.0023,0.0229,0,0,0,0,0,42964.00
6,6-Oct-94,122.2251,0.0431,0.0221,0,0,0,0.0155,0.0431,0.0321,0,0,0,0.0023,0.0369,0,0,0,0,0,42862.00
7,7-Oct-94,119.2593,0.0459,0,0,0,0,0.0146,0.0459,0,0,0,0,0.0014,0.0393,0,0,0,0,0,42774.00
8,8-Oct-94,119.0134,0.0426,0,0,0,0,0.0101,0.0425,0,0,0,0,0,0.0364,0,0,0,0,0,42686.00
9,9-Oct-94,119.0006,0.0406,0,0,0,0,0.0043,0.0406,0,0,0,0,0,0.0348,0,0,0,0,0,42628.00
10,10-Oct-94,127.0927,0.0414,0,0,0,0,0.0005,0.0414,0,0,0,0,0,0.0355,0,0,0,0,0,42482.00
11,11-Oct-94,145.9587,0.0367,0,0,0,0,0,0.0366,0,0,0,0,0,0.0314,0,0,0,0,0,42307.00
12,12-Oct-94,147.9193,0.0438,0,0,0,0,0,0.0438,0,0,0,0,0,0.0375,0,0,0,0,0,42089.00
13,13-Oct-94,127.2859,0.0448,0,0,0,0,0,0.0448,0,0,0,0,0,0.0384,0,0,0,0,0,41958.00
14,14-Oct-94,114.3015,0.0407,0,0,0,0,0,0.0407,0,0,0,0,0,0.0349,0,0,0,0,0,41871.00
15,15-Oct-94,113.0694,0.0451,0,0,0,0,0,0.045,0,0,0,0,0,0.0386,0,0,0,0,0,41769.00
16,16-Oct-94,113.0031,0.039,0,0,0,0,0,0.039,0,0,0,0,0,0.0334,0,0,0,0,0,41683.00
17,17-Oct-94,113.0001,0.0268,0,0,0,0,0,0.0267,0,0,0,0,0,0.0229,0,0,0,0,0,41654.00
18,18-Oct-94,113,0.0399,0,0,0,0,0,0.0399,0,0,0,0,0,0.0342,0,0,0,0,0,41552.00
19,19-Oct-94,113,0.0382,0,0,0,0,0,0.0382,0,0,0,0,0,0.0327,0,0,0,0,0,41480.00
20,20-Oct-94,116.5967,0.034,0,0,0,0,0,0.034,0,0,0,0,0,0.0291,0,0,0,0,0,41394.00
21,21-Oct-94,125.5311,0.0353,0,0,0,0,0,0.0353,0,0,0,0,0,0.0303,0,0,0,0,0,41307.00
22,22-Oct-94,133.6559,0.0331,0,0,0,0,0,0.0331,0,0,0,0,0,0.0284,0,0,0,0,0,41206.00
23,23-Oct-94,136.7094,0.0393,0,0,0,0,0,0.0393,0,0,0,0,0,0.0337,0,0,0,0,0,41076.00
24,24-Oct-94,132.4887,0.0319,0,0,0,0,0,0.0319,0,0,0,0,0,0.0273,0,0,0,0,0,40946.00
25,25-Oct-94,123.9205,0.0205,0,0,0,0,0,0.0205,0,0,0,0,0,0.0175,0,0,0,0,0,40860.00
26,26-Oct-94,122.1397,0.0213,0,0,0,0,0,0.0213,0,0,0,0,0,0.0183,0,0,0,0,0,40745.00
27,27-Oct-94,127.4103,0.0219,0,0,0,0,0,0.0219,0,0,0,0,0,0.0188,0,0,0,0,0,40645.00
28,28-Oct-94,130.6736,0.0292,0,0,0,0,0,0.0292,0,0,0,0,0,0.025,0,0,0,0,0,40573.00
29,29-Oct-94,130.9826,0.0306,0,0,0,0,0,0.0305,0,0,0,0,0,0.0262,0,0,0,0,0,40516.00
30,30-Oct-94,131.4488,0.0299,0,0,0,0,0,0.0299,0,0,0,0,0,0.0256,0,0,0,0,0,40402.00
31,31-Oct-94,126.553,0.0234,0,0,0,0,0,0.0234,0,0,0,0,0,0.02,0,0,0,0,0,40302.00
32,1-Nov-94,117.4716,0.0169,0,0,0,0,0,0.0169,0,0,0,0,0,0.0144,0,0,0,0,0,40230.00
33,2-Nov-94,113.3958,0.0301,0,0,0,0,0,0.0301,0,0,0,0,0,0.0258,0,0,0,0,0,40173.00
34,3-Nov-94,113.021,0.0254,0,0,0,0,0,0.0254,0,0,0,0,0,0.0217,0,0,0,0,0,40145.00
35,4-Nov-94,114.8298,0.0124,0.1814,0,0.5978,0,0.0097,0.0124,7.5287,0,0.8585,0,0.017,0.0106,15.1912,0,1.1767,0,0.0253,40059.00
36,5-Nov-94,257.5396,0.0082,6.5155,0,0.9044,0,0.1725,0.0082,102.6193,0,0.6104,0,0.1874,0.007,56.4535,0,0.4296,0,0.2152,40187.00
37,6-Nov-94,145.0053,0.0086,2.6222,0,0.1367,0,0.2326,0.0086,23.9639,0,0.105,0,0.2237,0.0074,3.7427,0,0.0219,0,0.2324,40273.00
38,7-Nov-94,88.5573,0.0214,0.2212,0,0,0,0.2341,0.0214,1.3974,0,0,0,0.2248,0.0183,0,0,0,0,0.2326,40302.00
39,8-Nov-94,83.1651,0.0215,0.0047,0,0,0,0.2341,0.0214,0.0058,0,0,0,0.2248,0.0183,0,0,0,0,0.2326,40344.00
40,9-Nov-94,214.8331,0.0071,7.3925,0,1.701,0,0.4045,0.0071,115.8051,0,1.6798,0,0.394,0.0061,79.4394,0,1.7413,0,0.4084,40473.00
41,10-Nov-94,174.3255,0.0169,2.3854,0,0,0,0.4771,0.0168,28.0108,0,0,0,0.4648,0.0144,1.1864,0,0,0,0.4814,40745.00
42,11-Nov-94,83.9532,0.0109,0.1286,0,0,0,0.4771,0.0109,0.8187,0,0,0,0.4648,0.0093,0,0,0,0,0.4814,40875.00
43,12-Nov-94,75.3852,0.0242,0,0,0,0,0.4771,0.0242,0,0,0,0,0.4648,0.0207,0,0,0,0,0.4814,40947.00
44,13-Nov-94,75.0151,0.0205,0,0,0,0,0.4771,0.0205,0,0,0,0,0.4648,0.0175,0,0,0,0,0.4814,40962.00
45,14-Nov-94,76.799,0.024,0,0,0,0,0.4771,0.024,0,0,0,0,0.4648,0.0206,0,0,0,0,0.4814,41004.00
46,15-Nov-94,114.5639,0.0132,2.0272,0,0.482,0,0.5223,0.0132,33.9918,0,0.5021,0,0.5127,0.0113,24.0602,0,0.525,0,0.5329,41106.00
47,16-Nov-94,115.6939,0.0184,0.7388,0,0,0,0.546,0.0184,8.9941,0,0.0734,0,0.5369,0.0157,0.4373,0,0.1418,0,0.5572,41205.00
48,17-Nov-94,99.4722,0.0228,0.0413,0,0,0,0.546,0.0228,9.7302,0,0.0457,0,0.5533,0.0195,10.519,0,0.0895,0,0.5887,41292.00
49,18-Nov-94,85.3882,0.0225,0,0,0,0,0.546,0.0225,0.7631,0,0,0,0.5536,0.0193,0,0,0,0,0.5894,41336.00
50,19-Nov-94,80.3464,0.0154,0,0,0,0,0.546,0.0154,0.0006,0,0,0,0.5536,0.0132,0,0,0,0,0.5894,41379.00
51,20-Nov-94,80.0146,0.0032,0,0,0,0,0.546,0.0032,0,0,0,0,0.5536,0.0027,0,0,0,0,0.5894,41422.00
52,21-Nov-94,80.0006,0.0134,0,0,0,0,0.546,0.0133,0,0,0,0,0.5536,0.0114,0,0,0,0,0.5894,41465.00
53,22-Nov-94,80,0.0169,0,0,0,0,0.546,0.0169,0,0,0,0,0.5536,0.0145,0,0,0,0,0.5894,41523.00
54,23-Nov-94,80,0.0125,0,0,0,0,0.5456,0.0124,0,0,0,0,0.5532,0.0106,0,0,0,0,0.5894,41539.00
55,24-Nov-94,81.7237,0.0098,0.1504,0,0.6302,0,0.5537,0.0098,4.8816,0,0.6921,0,0.5643,0.0083,12.4294,0,0.865,0,0.6093,41567.00
56,25-Nov-94,201.5956,0.0091,5.5801,0,0.6655,0,0.6909,0.0091,91.0691,0,0.7044,0,0.7093,0.0078,52.4249,0,0.6083,0,0.7665,41769.00
57,26-Nov-94,149.603,0.0162,1.7643,0,0.014,0,0.73,0.0162,27.2335,0,0.0588,0,0.7569,0.0139,7.8498,0,0.1001,0,0.8092,42220.00
58,27-Nov-94,102.4673,0.0021,0.5524,0,0.1111,0,0.74,0.0021,12.6903,0,0.1671,0,0.7738,0.0018,11.4246,0,0.25,0,0.8356,42467.00
59,28-Nov-94,95.5083,0.0117,0.2147,0,0,0,0.7468,0.0117,3.6828,0,0,0,0.7834,0.01,0.297,0,0,0,0.8499,42730.00
60,29-Nov-94,61.1883,0.0116,0.0126,0,0,0,0.7468,0.0116,0.1262,0,0,0,0.7834,0.0099,0,0,0,0,0.8499,42745.00
61,30-Nov-94,54.0293,0.0157,0,0,0,0,0.7468,0.0157,0,0,0,0,0.7834,0.0134,0,0,0,0,0.8499,42730.00
62,1-Dec-94,69.3119,0.0058,0,0,0,0,0.7468,0.0058,0,0,0,0,0.7834,0.005,0,0,0,0,0.8499,42643.00
63,2-Dec-94,70.0065,0.0078,0,0,0,0,0.7468,0.0077,0,0,0,0,0.7834,0.0066,0,0,0,0,0.8499,42570.00
64,3-Dec-94,376.4082,0.0045,6.5808,0,1.6185,0,0.8955,0.0045,113.0412,9.7268,1.6076,0.0912,0.9248,0.0039,586.6987,513.3842,1.6399,0.5891,0.9576,42613.00
65,4-Dec-94,755.1473,0.0138,2.6912,0,0,0,0.978,0.0138,99.7632,65.8193,0,0,1,0.0118,257.9842,255.372,0,0,1,44053.00
66,5-Dec-94,178.3129,0.0066,0.1538,0,0,0,0.978,0.0066,24.2315,23.0754,0,0,1,0.0056,38.3942,38.3942,0,0,1,44290.00
67,6-Dec-94,180.5533,0.0077,0,0,0,0,0.978,0.0076,27.0074,24.612,0.0306,0.0306,1,0.0065,116.4166,113.5315,0.0623,0.0623,1,44469.00
68,7-Dec-94,160.0222,0.0142,0,0,0,0,0.978,0.0142,18.1472,17.9118,0,0,1,0.0121,39.0829,39.0829,0,0,1,44601.00
69,8-Dec-94,117.1327,0.011,0,0,0,0,0.978,0.011,7.4711,7.4704,0,0,1,0.0094,35.5183,35.5183,0,0,1,44601.00
70,9-Dec-94,108.6705,0.0114,0,0,0,0,0.978,0.0114,5.44,5.44,0,0,1,0.0098,33.4484,33.4484,0,0,1,44601.00
71,10-Dec-94,105.7217,0.0045,0,0,0,0,0.978,0.0045,4.9546,4.9546,0,0,1,0.0039,31.5005,31.5005,0,0,1,44601.00
72,11-Dec-94,179.0968,0.0041,6.5035,5.9727,0.3019,0.1481,0.9856,0.0041,47.0693,33.1568,0.3965,0.3965,1,0.0035,342.1802,324.0701,0.4845,0.4845,1,44572.00
73,12-Dec-94,1151.8527,0.0044,120.8508,119.0454,0.1829,0.1829,1,0.0044,364.1866,333.1348,0.2116,0.2116,1,0.0037,562.8616,549.5535,0.2096,0.2096,1,44661.00
74,13-Dec-94,804.771,0.0037,149.811,149.3476,0,0,1,0.0037,267.5023,260.3611,0,0,1,0.0032,144.5811,143.8642,0,0,1,44928.00
75,14-Dec-94,1018.8555,0.0055,168.8944,166.4711,0.6536,0.6536,1,0.0055,279.0061,236.724,0.6963,0.6963,1,0.0047,878.0817,844.774,0.7465,0.7465,1,45122.00
76,15-Dec-94,1564.5413,0.0062,390.2474,388.9209,0,0,1,0.0062,515.1562,497.8715,0,0,1,0.0053,269.3691,268.1153,0,0,1,45914.00
77,16-Dec-94,652.8011,0.0051,158.2294,158.1495,0,0,1,0.0051,201.2655,197.7394,0.0372,0.0372,1,0.0043,199.4865,196.1982,0.071,0.071,1,46215.00
78,17-Dec-94,366.7823,0.0059,60.3136,60.3136,0,0,1,0.0059,94.0373,93.7232,0,0,1,0.005,108.1287,108.1287,0,0,1,46621.00
79,18-Dec-94,368.3186,0.009,45.3494,45.3017,0.0094,0.0094,1,0.009,89.8379,86.8848,0.0377,0.0377,1,0.0077,190.1174,186.8898,0.0697,0.0697,1,46893.00
80,19-Dec-94,302.3299,0.0092,40.6773,40.6706,0,0,1,0.0092,75.193,74.898,0,0,1,0.0079,100.4467,100.4467,0,0,1,47119.00
81,20-Dec-94,249.8232,0.0086,35.5242,35.5239,0,0,1,0.0086,58.7894,58.7884,0,0,1,0.0073,93.0293,93.0293,0,0,1,47271.00
82,21-Dec-94,238.8488,0.011,32.8088,32.8088,0,0,1,0.011,53.3687,53.3687,0,0,1,0.0094,87.6099,87.6099,0,0,1,47377.00
83,22-Dec-94,228.3469,0.0142,30.8032,30.8032,0,0,1,0.0142,50.0495,50.0495,0,0,1,0.0121,82.5079,82.5079,0,0,1,47469.00
84,23-Dec-94,216.6953,0.0147,28.998,28.998,0,0,1,0.0147,47.1168,47.1168,0,0,1,0.0126,77.703,77.703,0,0,1,47544.00
85,24-Dec-94,1005.3044,0.013,172.887,170.7059,0.4525,0.4525,1,0.013,269.3855,234.7588,0.4653,0.4653,1,0.0111,753.0855,727.8636,0.546,0.546,1,47696.00
86,25-Dec-94,942.4777,0.0207,253.2396,252.8047,0,0,1,0.0206,307.1793,301.8413,0,0,1,0.0177,139.2054,139.1451,0,0,1,48077.00
87,26-Dec-94,391.426,0.0129,98.3641,98.3447,0,0,1,0.0129,108.8689,108.7685,0,0,1,0.011,99.3528,99.3528,0,0,1,48275.00
88,27-Dec-94,294.1414,0.006,60.0162,59.67,0.3633,0.3633,1,0.006,85.2843,78.3984,0.3718,0.3718,1,0.0052,202.9837,195.9717,0.3812,0.3812,1,48305.00
89,28-Dec-94,1148.9618,0.0172,246.1116,244.4648,0,0,1,0.0172,341.5727,317.6271,0,0,1,0.0147,485.306,474.6671,0,0,1,48382.00
90,29-Dec-94,564.4905,0.0102,157.2425,157.1197,0,0,1,0.0102,173.3767,172.198,0,0,1,0.0087,109.8092,109.8092,0,0,1,48595.00
91,30-Dec-94,321.8253,0.0103,71.2986,71.2983,0,0,1,0.0103,82.3567,82.3567,0,0,1,0.0088,101.5679,101.5679,0,0,1,48611.00
92,31-Dec-94,288.5359,0.0062,51.1913,51.1913,0,0,1,0.0062,65.8142,65.8142,0,0,1,0.0053,122.1214,121.1797,0.0203,0.0203,1,48611.00
93,1-Jan-95,297.8342,0.0065,66.8262,66.5754,0.0506,0.0506,1,0.0065,60.8073,60.8073,0,0,1,0.0055,91.8017,91.8017,0,0,1,48596.00
94,2-Jan-95,300.3672,0.018,65.8537,65.8109,0.0347,0.0347,1,0.018,57.1684,57.1684,0,0,1,0.0154,86.1028,86.1028,0,0,1,48535.00
95,3-Jan-95,483.6195,0.0063,129.6983,128.6105,0.1998,0.1998,1,0.0063,98.5938,91.2158,0.1108,0.1108,1,0.0054,262.8754,255.7609,0.1557,0.1557,1,48626.00
96,4-Jan-95,676.0984,0.0089,240.3015,238.5753,0.3883,0.3883,1,0.0089,163.0917,153.043,0.1334,0.1334,1,0.0076,149.2453,147.2868,0.0426,0.0426,1,48932.00
97,5-Jan-95,1416.5582,0.0074,385.1461,382.9772,0.3125,0.3125,1,0.0074,333.819,302.974,0.3897,0.3897,1,0.0063,920.6379,888.54,0.7104,0.7104,1,49857.00
98,6-Jan-95,1464.604,0.0062,353.2445,351.2794,0.6974,0.6974,1,0.0062,423.3208,391.2976,0.6816,0.6816,1,0.0053,715.2327,691.3912,0.8964,0.8964,1,51475.00
99,7-Jan-95,6735.6938,0.009,1791.631,740.2285,1.1623,1.1623,1,0.009,2255.593,876.8066,1.1384,1.1384,1,0.0077,3112.1052,2414.7983,1.7825,1.7825,1,55097.00
100,8-Jan-95,16437.8633,0.0101,5105.4575,1112.7758,1.2,1.2,1,0.0101,6350.1069,1255.8687,1.2,1.2,1,0.0087,8209.9766,2808.3176,2.4,2.4,1,60245.00
101,9-Jan-95,23476.3574,0.0107,6390.8154,1260.017,1.2,1.2,1,0.0107,7186.7656,1412.9872,1.2,1.2,1,0.0091,7357.5835,3151.5469,1.8488,1.8488,1,77184.00
102,10-Jan-95,6961.5308,0.0135,2061.5186,1211.6007,0.5629,0.5629,1,0.0135,2137.2759,1313.6139,0.506,0.506,1,0.0115,1691.6287,1619.8937,0.5678,0.5678,1,84450.00
103,11-Jan-95,3876.6372,0.0096,1021.0378,982.062,0.7356,0.7356,1,0.0096,1137.7704,1049.8593,0.7657,0.7657,1,0.0083,1699.7919,1659.6066,0.8109,0.8109,1,87345.00
104,12-Jan-95,3873.2515,0.0102,979.3909,975.3192,0.8042,0.8042,1,0.0102,1125.8065,1068.5912,0.7862,0.7862,1,0.0088,1706.3354,1666.4481,1.1565,1.1565,1,90694.00
105,13-Jan-95,10717.5332,0.0084,3037.5903,1045.9956,1.2,1.2,1,0.0084,4084.1877,1182.6331,1.2,1.2,1,0.0072,5448.3208,3040.4683,2.4,2.4,1,94624.00
106,14-Jan-95,10177.0918,0.0084,2762.1475,1312.8575,0.9044,0.9044,1,0.0084,2924.0457,1495.3407,0.8904,0.8904,1,0.0072,2775.1062,2549.4014,0.7623,0.7623,1,106414.00
107,15-Jan-95,3831.501,0.0087,1158.8099,1062.1537,0,0,1,0.0086,1229.2538,1149.3019,0.0468,0.0468,1,0.0074,1073.6727,1065.8921,0.0713,0.0713,1,109947.00
108,16-Jan-95,2721.1526,0.0135,542.1516,541.8108,0,0,1,0.0135,561.8617,560.6394,0,0,1,0.0115,713.5875,713.5875,0,0,1,111731.00
109,17-Jan-95,3973.3064,0.0099,364.0242,364.024,0,0,1,0.0099,390.2511,390.2505,0,0,1,0.0084,669.8229,669.8229,0,0,1,109048.00
110,18-Jan-95,4209.7207,0.0089,318.4298,318.4298,0,0,1,0.0089,350.1236,350.1236,0,0,1,0.0076,630.8131,630.8131,0,0,1,102505.00
111,19-Jan-95,5542.3687,0.0175,296.7686,296.7686,0,0,1,0.0175,328.0978,328.0978,0,0,1,0.015,594.0774,594.0774,0,0,1,96944.00
112,20-Jan-95,6352.832,0.0148,281.824,281.7569,0.0252,0.0252,1,0.0148,308.859,308.859,0,0,1,0.0127,559.481,559.481,0,0,1,83688.00
113,21-Jan-95,4392.6304,0.0108,281.0398,280.8842,0.1803,0.1803,1,0.0108,292.843,292.3118,0.0944,0.0944,1,0.0093,526.8994,526.8994,0,0,1,74000.00
114,22-Jan-95,3814.2354,0.0068,830.6641,559.1293,1.1597,1.1597,1,0.0068,828.8704,605.4949,1.1455,1.1455,1,0.0058,1530.0244,1483.8151,1.1545,1.1545,1,71476.00
115,23-Jan-95,4837.8506,0.006,1366.0431,1111.1544,1.0293,1.0293,1,0.006,1439.1724,1235.0189,0.9208,0.9208,1,0.0051,1296.1176,1274.3458,0.5959,0.5959,1,71939.00
116,24-Jan-95,4439.5117,0.007,1262.368,1240.755,0.6061,0.6061,1,0.007,1315.38,1245.2544,0.3951,0.3951,1,0.006,1382.0398,1354.6852,0.3123,0.3123,1,73656.00
117,25-Jan-95,3197.6821,0.0086,908.9215,907.2543,0.2155,0.2155,1,0.0086,810.2965,793.6844,0.1587,0.1587,1,0.0073,635.9117,633.3613,0.0548,0.0548,1,74638.00
118,26-Jan-95,3192.4785,0.0034,681.2285,618.1116,0.5462,0.5462,1,0.0034,693.9957,583.9066,0.5475,0.5475,1,0.0029,1394.85,1202.9861,0.7705,0.7705,1,73225.00
119,27-Jan-95,4162.3555,0.0053,814.4531,747.8746,0.305,0.305,1,0.0053,895.7993,809.2083,0.2711,0.2711,1,0.0045,1185.145,1158.7281,0.3407,0.3407,1,77879.00
120,28-Jan-95,3542.697,0.0071,678.8595,673.3026,0.1581,0.1581,1,0.0071,734.5817,711.1097,0.1831,0.1831,1,0.0061,1014.2258,999.0602,0.3121,0.3121,1,73500.00
121,29-Jan-95,2420.8135,0.0135,456.7981,456.6223,0.0341,0.0341,1,0.0135,473.3248,471.0468,0.1105,0.1105,1,0.0115,547.4777,546.5458,0.2722,0.2722,1,72572.00
122,30-Jan-95,3463.7234,0.0102,550.2317,546.9728,0.6475,0.6475,1,0.01,737.3275,679.6182,0.6621,0.6621,1,0.0085,2044.7473,1987.6735,0.9842,0.9842,1,72727.00
123,31-Jan-95,3387.9075,0.0154,631.9684,631.284,0,0,1,0.0152,727.1565,718.3611,0.0232,0.0232,1,0.013,651.297,649.2894,0.0935,0.0935,1,77185.00
124,1-Feb-95,3594.6394,0.017,384.5966,384.5652,0,0,1,0.017,469.957,461.4225,0.0875,0.0875,1,0.0145,835.9401,824.9371,0.1855,0.1855,1,73534.00
125,2-Feb-95,2418.8933,0.0165,297.3301,297.3301,0,0,1,0.0165,362.8159,361.955,0,0,1,0.0141,573.5386,570.8205,0.0631,0.0631,1,70521.00
126,3-Feb-95,1700.0676,0.0249,269.54,269.54,0,0,1,0.0248,301.0864,301.0792,0,0,1,0.0212,502.9202,502.632,0,0,1,70147.00
127,4-Feb-95,1395.4983,0.0202,252.5298,252.5298,0,0,0.9999,0.0202,277.2177,277.2177,0,0,1,0.0173,449.377,449.377,0,0,1,69689.00
128,5-Feb-95,1216.2833,0.0086,237.6799,237.6799,0,0,0.9992,0.0086,260.417,260.417,0,0,1,0.0073,423.149,423.149,0,0,1,69706.00
129,6-Feb-95,1130.5924,0.0125,223.8241,223.8241,0,0,0.9978,0.0125,245.1956,245.1956,0,0,1,0.0107,398.5067,398.5067,0,0,1,69808.00
130,7-Feb-95,1079.6149,0.0206,210.7882,210.7882,0,0,0.9954,0.0206,230.9122,230.9122,0,0,0.9986,0.0176,375.2994,375.2994,0,0,1,69841.00
131,8-Feb-95,1031.9578,0.0193,198.5127,198.5127,0,0,0.9925,0.0193,217.4647,217.4647,0,0,0.9958,0.0165,353.4437,353.4437,0,0,1,69841.00
132,9-Feb-95,986.9906,0.027,186.9522,186.9522,0,0,0.9893,0.0269,204.8005,204.8005,0,0,0.9926,0.0231,332.8607,332.8607,0,0,0.999,69808.00
133,10-Feb-95,958.3841,0.017,176.065,176.065,0,0,0.9862,0.017,192.8738,192.8738,0,0,0.9894,0.0145,313.4764,313.4764,0,0,0.9968,69655.00
134,11-Feb-95,929.8044,0.0102,165.8117,165.8117,0,0,0.9841,0.0101,181.6417,181.6417,0,0,0.9874,0.0087,295.2209,295.2209,0,0,0.9951,69452.00
135,12-Feb-95,878.2786,0.0176,156.1556,156.1556,0,0,0.9822,0.0176,171.0637,171.0637,0,0,0.9855,0.015,278.0286,278.0286,0,0,0.9935,69300.00
136,13-Feb-95,861.5965,0.0086,147.0618,147.0618,0,0,0.9808,0.0086,161.1017,161.1017,0,0,0.9841,0.0074,284.0641,280.8104,0.0714,0.0176,0.9973,69165.00
137,14-Feb-95,840.7651,0.0247,138.4976,138.4976,0,0,0.9808,0.0247,151.7199,151.7199,0,0,0.9841,0.0211,250.7679,250.7163,0,0,1,69147.00
138,15-Feb-95,760.4056,0.0249,130.4321,130.4321,0,0,0.9808,0.0249,142.8844,142.8844,0,0,0.9839,0.0213,233.3534,233.3534,0,0,1,68945.00
139,16-Feb-95,677.3774,0.019,122.8363,122.8363,0,0,0.9808,0.019,134.5635,134.5635,0,0,0.9822,0.0163,219.7592,219.7592,0,0,1,68844.00
140,17-Feb-95,619.4646,0.0115,115.6829,115.6829,0,0,0.9808,0.0115,126.7271,126.7271,0,0,0.9799,0.0098,206.9614,206.9614,0,0,1,68658.00
141,18-Feb-95,561.4243,0.0277,108.946,108.946,0,0,0.9797,0.0277,119.3471,119.3471,0,0,0.9772,0.0237,194.9089,194.9089,0,0,1,68557.00
142,19-Feb-95,520.487,0.0313,102.6015,102.6015,0,0,0.976,0.0313,112.3969,112.3969,0,0,0.973,0.0268,183.5583,183.5583,0,0,0.9982,68541.00
143,20-Feb-95,495.7283,0.0335,96.6265,96.6265,0,0,0.9714,0.0335,105.8514,105.8514,0,0,0.9683,0.0287,172.8687,172.8687,0,0,0.9943,68658.00
144,21-Feb-95,471.9552,0.0355,90.9994,90.9994,0,0,0.9665,0.0355,99.6871,99.6871,0,0,0.9635,0.0304,162.8016,162.8016,0,0,0.9902,68793.00
145,22-Feb-95,450.3456,0.0328,85.7,85.7,0,0,0.9616,0.0328,93.8817,93.8817,0,0,0.9585,0.0281,153.3207,153.3207,0,0,0.9859,68844.00
146,23-Feb-95,430.6889,0.0222,80.7092,80.7092,0,0,0.9578,0.0221,88.4145,88.4145,0,0,0.9547,0.019,144.392,144.392,0,0,0.9827,68894.00
147,24-Feb-95,422.762,0.0307,76.0091,76.0091,0,0,0.9539,0.0306,83.2656,83.2656,0,0,0.9509,0.0262,135.9833,135.9833,0,0,0.9794,68996.00
148,25-Feb-95,429.7003,0.0319,71.5826,71.5826,0,0,0.9495,0.0319,78.4166,78.4166,0,0,0.9465,0.0273,128.0642,128.0642,0,0,0.9756,68996.00
149,26-Feb-95,422.3148,0.0229,67.414,67.414,0,0,0.9456,0.0229,73.85,73.85,0,0,0.9425,0.0196,120.6064,120.6064,0,0,0.9722,68996.00
150,27-Feb-95,391.6137,0.0187,63.4881,63.4881,0,0,0.9426,0.0187,69.5493,69.5493,0,0,0.9396,0.016,113.5828,113.5828,0,0,0.9697,68996.00
151,28-Feb-95,352.3161,0.024,59.7908,59.7908,0,0,0.9394,0.0239,65.499,65.499,0,0,0.9364,0.0205,106.9682,106.9682,0,0,0.967,69013.00
152,1-Mar-95,329.4233,0.0195,56.3089,56.3089,0,0,0.9363,0.0195,61.6847,61.6847,0,0,0.9332,0.0167,100.7389,100.7389,0,0,0.9643,69063.00
153,2-Mar-95,363.0902,0.0104,62.2007,60.2099,0.6027,0.1467,0.9744,0.0104,84.176,58.2319,0.5376,0.0604,0.9669,0.0089,194.3934,178.0202,0.485,0.2265,0.9832,69148.00
154,3-Mar-95,1257.2572,0.0154,231.4469,228.7997,0.2519,0.2519,1,0.0154,279.1623,237.8906,0.2885,0.2885,1,0.0132,705.5803,684.8456,0.3165,0.3165,1,69367.00
155,4-Mar-95,798.9208,0.0195,209.8378,209.5091,0,0,1,0.0195,222.4021,218.5333,0,0,1,0.0167,133.9703,133.9644,0,0,1,69724.00
156,5-Mar-95,423.9809,0.0251,94.5907,94.5802,0,0,1,0.0251,91.6895,91.647,0,0,1,0.0215,113.0357,113.0357,0,0,1,69858.00
157,6-Mar-95,344.9278,0.0305,63.3311,63.3311,0,0,1,0.0304,65.164,65.164,0,0,1,0.0261,106.4364,106.4364,0,0,1,69910.00
158,7-Mar-95,323.126,0.0297,55.7667,55.7667,0,0,0.9989,0.0296,59.0626,59.0626,0,0,0.9989,0.0254,100.238,100.238,0,0,0.9999,69808.00
159,8-Mar-95,2368.0391,0.0091,845.335,173.2817,0.9748,0.9547,0.9995,0.0091,1019.7795,211.6752,0.9565,0.9364,0.9994,0.0078,1450.2941,1270.2872,1.7794,1.7766,0.9999,69808.00
