hidden_size,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE_1D,NSE_1H
256,90,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7929692715406418,0.7609576880931854
128,120,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7913549095392227,0.758199080824852
128,90,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7865096032619476,0.6957525908946991
128,90,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7845401912927628,0.7777375131845474
64,120,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7834536135196686,0.8396008312702179
256,90,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7828015983104706,0.7231207191944122
128,90,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7795761227607727,0.8406980931758881
256,90,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7795427441596985,0.7688162177801132
256,120,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7713421881198883,0.7450150549411774
256,90,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7698563635349274,0.7176991105079651
128,90,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.76198910176754,0.7922256141901016
64,90,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7511608451604843,0.7819619476795197
128,120,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7502497583627701,0.8112669140100479
256,90,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7475610077381134,0.7368423938751221
256,90,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7441122531890869,0.6944651305675507
256,90,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7348171770572662,0.7508704960346222
256,90,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7288582026958466,0.7705061882734299
256,90,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7270481586456299,0.7646804600954056
256,90,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.721886157989502,0.7428427040576935
64,90,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7203904390335083,0.8362349420785904
