hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE,model_type
128,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.5896977484226227,260372.5,510.26708692605285,0.6167655104703372,0.693442788371254,0.96966952085495,-0.012394677440647347,0.7720276069382499,-29.470637440681458,-9.710714650064107,-2808.2050039576425,,69.37044043289987,no_physics
64,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.6460719108581543,224598.1875,473.91791219577254,0.7019234780054107,0.7767427224564235,0.9731554985046387,-0.010970111076028386,0.804334025115027,-21.071486175060272,-5.830351090140359,-2778.881347548331,,67.76344901637027,physics
