hidden_size,seq_length,num_layers,epochs,output_dropout,avg NSE,avg MSE,avg RMSE,avg KGE,avg Alpha-NSE,avg Beta-KGE,avg Beta-NSE,avg Pearson-r,avg FHV,avg FMS,avg FLV,avg Peak-Timing,avg Peak-MAPE
256,90,1,32,0.4,0.8180898986756802,109121.4794921875,313.69999230633636,0.7026131457556821,1.0264635384082794,1.0977888852357864,0.053117107308935374,0.9322366652364237,4.247992858290672,167.1470040398017,-816.2828643769485,0.375,23.77559430897236
256,90,2,32,0.4,0.8151161838322878,103919.984375,308.5713346760113,0.7508328554497261,1.0131523162126541,1.1604272723197937,0.07397354007844115,0.9260055771952902,3.964036703109741,96.51838014165949,-4130.547487221623,0.375,22.155146719887853
128,90,2,32,0.4,0.8079382311552763,108472.501953125,316.86113302023176,0.6770543885089069,1.0648040920495987,1.2024703621864319,0.09606772696133703,0.9378825893370774,8.949915692210197,135.6742209735603,-3433.303590430441,0.375,21.011981833726168
64,90,2,32,0.4,0.8039177618920803,118613.541015625,327.2700259331564,0.7403031256799513,1.0313135534524918,1.1583127677440643,0.07603465428110212,0.9245878808350125,5.3923942148685455,109.60465047525278,-2772.7910024273456,0.375,24.757200333988294
128,90,1,32,0.4,0.8039079457521439,116491.830078125,324.699930268787,0.671018924605207,1.048923909664154,1.2077308595180511,0.09743579989299178,0.9315061350864884,7.039942964911461,109.60479508689161,-1472.1086062828122,0.375,20.728019531816244
128,90,2,16,0.4,0.795580517500639,125897.0400390625,335.7799354245609,0.7161317224858819,1.0162755846977234,1.1019544899463654,0.0565029454883188,0.921842264973338,2.517006080597639,221.67417083950082,-1776.9801705631373,0.375,25.98782479763031
64,90,1,32,0.4,0.7874073870480061,142149.94140625,349.7030403411959,0.6859348264686704,1.031945139169693,1.1858983784914017,0.08632094752101693,0.9249265605903678,4.973689094185829,186.89432264057464,-2904.355799435599,0.5,25.30718632042408
128,90,1,16,0.4,0.7750040143728256,130703.66796875,345.0782799139061,0.6876394247474286,1.0585710406303406,1.2101055979728699,0.07974854961503297,0.9153802934423303,8.824690245091915,159.74856261796754,-1885.6353350474683,0.375,21.7781824991107
64,90,2,16,0.4,0.746240396052599,159064.9150390625,375.92819449868216,0.649907535717755,1.0836913138628006,1.1275999993085861,0.06347602047026157,0.9171130762340756,7.759646698832512,203.98326003814853,-1108.084680736186,0.5,22.76793180499226
64,180,2,32,0.4,0.7301858402788639,252769.7783203125,416.94140207293884,0.6247882263652249,0.9254524409770966,1.1611053943634033,0.08098997920751572,0.9037839933852775,-8.714327588677406,200.0252080596445,-3170.9097135712495,0.375,31.35978914797306
128,180,2,32,0.4,0.726568765938282,270788.361328125,426.9928469048007,0.6838257382245984,0.891235888004303,1.1057670265436172,0.04978551692329347,0.8880279327407745,-12.21030792221427,106.54152052031493,-1077.592996318161,0.375,37.409982085227966
64,90,1,16,0.4,0.7171882130205631,157634.9296875,381.1649133615532,0.6157872660953507,1.1174811869859695,1.2337373793125153,0.11492928583174944,0.9100473878555699,9.408426284790039,738.8375311670687,-1378.8791548390366,0.375,22.217521257698536
256,180,2,32,0.4,0.7006171680986881,305917.255859375,442.5607022202335,0.6694438591616296,0.8773693069815636,1.0586064904928207,0.03408851008862257,0.8593513383049908,-15.018181089544669,164.2186179771081,-2066.6498950489313,0.375,41.08347352594137
256,90,2,16,0.4,0.6980077773332596,170119.46875,396.70325400881813,0.5822642778762559,1.0933607816696167,1.1051393747329712,0.06488326378166676,0.9051620686462971,10.583843663334846,571.4241141122626,-1078.4316070576836,0.375,26.983780693262815
256,90,1,16,0.4,0.6948408968746662,179881.521484375,403.0913704928606,0.5394067164961239,1.1536205857992172,1.1963838934898376,0.09622991643846035,0.9235693617904618,16.37357734143734,205.7806600706558,-2329.034062221476,0.375,21.3258009403944
64,180,1,32,0.4,0.6919222883880138,279370.171875,445.7800285771202,0.5889819033234659,0.9331682920455933,1.1651932746171951,0.08549211453646421,0.8831973261288117,-8.072143327444792,115.65520865816272,-3227.1284515310062,0.375,33.547157142311335
64,180,1,16,0.4,0.6701402217149734,324678.13671875,459.85643583455345,0.6264238700567387,0.8372540175914764,1.0597538948059082,0.03179314685985446,0.8226997551363824,-23.56921322643757,154.6942711256576,-2507.5736539019836,0.375,48.27263504266739
64,180,2,16,0.4,0.6617352776229382,338245.595703125,469.6178270357184,0.5916837702801074,0.8776858076453209,1.1094219982624054,0.05763064883649349,0.8442558870310919,-17.841613152995706,492.86490183072215,-2578.6417703211036,0.375,40.748173743486404
256,180,1,32,0.4,0.6580082960426807,335747.1669921875,475.7914322101367,0.5739459729859038,0.9530782550573349,1.1260504573583603,0.06485671177506447,0.8471188424728564,-7.259507896378636,141.7634598053162,-4042.0241079886473,0.375,36.93562289699912
256,180,1,16,0.4,0.6565520092844963,337408.787109375,474.62561774592933,0.6285110016133287,0.9398813545703888,1.0125131905078888,0.014506434090435505,0.8404111855569718,-11.460375599563122,375.09861208551547,-2400.444980664644,0.375,40.17077721655369
128,180,1,32,0.4,0.6540115177631378,322020.23486328125,473.67091205040094,0.6061278413321726,0.9352316036820412,1.1466132253408432,0.07383372075855732,0.8392415147437464,-11.630615824833512,119.58100796629165,-3162.828233327301,0.5,40.68418815732002
128,180,2,16,0.4,0.6485351584851742,361994.76171875,483.13046661018353,0.6150721873205525,0.8726222887635231,1.0694366693496704,0.04215158708393574,0.8211879387896271,-14.923828735481948,147.5721304819125,-3221.3062857999657,0.375,42.17434227466583
128,180,1,16,0.4,0.6287734061479568,359778.763671875,490.1524148330342,0.5901095711414666,0.8762383386492729,1.150412529706955,0.07334424881264567,0.7982694001496627,-16.60852711647749,135.08187181269895,-3751.999993679345,0.5,44.80154737830162
256,180,2,16,0.4,0.4592326730489731,371265.716796875,544.9826545281472,0.30947187818391253,0.9777624532580376,1.4654906392097473,0.23006993648596108,0.8232717080932734,-11.518720351159573,149.62092335502837,-3577.7304564279416,1.25,44.771209731698036
