hidden_size,seq_length,num_layers,epochs,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
256,336,1,16,0.4,0.8497831076383591,324908.9375,570.0078398583654,0.8216720877239538,0.9570536017417908,1.1563911437988281,0.08025564253330231,0.9258497382696813,-7.224079966545105,-27.385723366854236,-4.615565106995937,,33.77894333430699
128,336,1,16,0.4,0.8450977355241776,335043.09375,578.8290712723403,0.9159480200253478,0.98508620262146,1.0263229608535767,0.013508203439414501,0.9215817896320487,-5.6026797741651535,10.207079509604416,-1.9907637503730324,,36.42252853938511
64,336,1,16,0.4,0.8415144085884094,342793.5625,585.4857491860924,0.9101504598944798,1.0027037858963013,0.9568823575973511,-0.022126799449324608,0.9212186677401446,-4.465029016137123,17.656152972230387,-0.7027548767563297,,40.327450207301546
256,90,1,16,0.4,0.8352912813425064,356253.78125,596.8699868899424,0.9031580578919687,1.0062609910964966,0.9480194449424744,-0.02667497843503952,0.9185310879067579,-3.7813596427440643,19.649491490066506,-0.5765190217641772,,37.39730971200125
256,90,1,32,0.4,0.8329196721315384,361383.375,601.1517071422155,0.9069426298198466,0.9775888919830322,0.9696727991104126,-0.015563084743916988,0.9149254605154955,-4.58807535469532,1.0077005957952638,-1.8251725130793386,,37.290447098868235
64,90,1,32,0.4,0.8318429440259933,363712.28125,603.0856334302783,0.8857810900366838,0.9300277829170227,0.9786161184310913,-0.010973612777888775,0.9122926580111579,-10.33598855137825,-1.378057971264539,86.5975565527733,,39.2772947038923
64,168,1,16,0.4,0.8285708427429199,370789.625,608.9249748532244,0.8835829960167293,0.9423220753669739,1.0482515096664429,0.024761324748396873,0.9111294894727334,-8.485561609268188,-10.415472116530804,87.74917609607236,,37.311056682041716
256,168,1,16,0.4,0.8254358023405075,377570.5,614.4676557801884,0.8668635753707721,0.9152371883392334,0.9526926279067993,-0.024276843294501305,0.9088814735190974,-12.82597929239273,5.449102396449355,-2.0391740702285057,,38.37364060538156
128,336,1,32,0.4,0.8175080716609955,394717.65625,628.2655937181345,0.8999772388923791,0.9665758609771729,0.9906845092773438,-0.004780459217727184,0.9061884799037399,-6.166313216090202,-4.161838169825237,-2.6143172534244177,,38.49727766854422
64,90,1,16,0.4,0.8132043033838272,404026.40625,635.630715313538,0.8946918455901782,1.0229941606521606,1.048241376876831,0.024756137281656265,0.9092594604483033,-0.2373579889535904,-9.236321864410383,-3.0420963940023364,,33.42821257455008
128,90,1,16,0.4,0.810756653547287,409320.46875,639.7815789392502,0.8987202260703391,1.038434386253357,1.0249191522598267,0.012787829153239727,0.9096704565979514,0.20878228824585676,5.018296044135831,-2.2074849884129564,,34.63289056505476
128,90,1,32,0.4,0.8100597560405731,410827.84375,640.958535125323,0.893301397058098,0.9989818334579468,1.049052357673645,0.025172309949994087,0.9052507445237531,-2.78543122112751,-4.759489196714553,-2.7986262944956737,,36.77685941968645
256,168,1,32,0.4,0.8051115721464157,421530.40625,649.2537302549752,0.8970492905532259,0.9942740201950073,0.9685371518135071,-0.01614588312804699,0.9021421903225879,-3.4084249287843704,6.870289114694867,-0.9196680922708953,,39.84565053667341
128,168,1,32,0.4,0.8026481121778488,426858.71875,653.3442574554398,0.888092833759693,0.9938122034072876,1.0519721508026123,0.026670662686228752,0.9010868028511188,-4.808199033141136,-4.910628821592894,-3.075393820437407,,36.20569705963135
256,336,1,32,0.4,0.7923914194107056,449043.25,670.1068944578917,0.8661703777416555,1.0260361433029175,1.0851504802703857,0.04369686543941498,0.9000906273393543,0.7517252583056688,-16.287957909637992,94.44067362698306,,36.21748856135777
64,168,1,32,0.4,0.7883942574262619,457688.8125,676.5270227418857,0.8826999203366502,0.9640210270881653,1.0241601467132568,0.01239830069243908,0.8909994976707375,-5.930860340595245,-9.644928080827725,-3.2312155373548914,,40.15403815678188
64,336,1,32,0.4,0.7829163074493408,469537.25,685.227881802835,0.8921369906989493,1.0128486156463623,1.0015981197357178,0.000820101355202496,0.8929169113969861,-3.3130329102277756,12.504449919504806,-1.4701208391448375,,39.258694648742676
128,168,1,16,0.4,0.662431925535202,730136.8125,854.4804342405974,0.7980959758263435,1.1455950736999512,1.02274489402771,0.011672074906527996,0.8619783376151029,8.59280377626419,3.2584713396349394,-2.2635744072540964,,46.93498611450195
