hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE,model_type
256,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8518150001764297,320514.09375,566.1396415638106,0.7971213717281338,0.8093671554511674,0.9932075142860413,-0.0034857467896359635,0.9309151353296514,-22.13933914899826,-6.769701192453187,-3.021490811724131,,35.77788897923061,no_physics
128,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8625632077455521,297266.4375,545.2214572996921,0.8528826631515569,0.8739170720042378,0.9694925546646118,-0.01565575126432038,0.9306033008817998,-15.180739760398865,6.419344558611742,-2.064536427711721,,36.13100051879883,physics
