hidden_size,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE_1D,NSE_1H
64,120,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.870785728096962,0.8393956571817398
256,90,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8700303137302399,0.8367994874715805
64,120,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8697470128536224,0.8637597411870956
256,90,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8686760663986206,0.8553412705659866
64,90,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8672339469194412,0.8540389388799667
64,120,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8663551956415176,0.839595764875412
256,90,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8662795275449753,0.839260533452034
256,120,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8635676503181458,0.8523713797330856
64,120,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8609478771686554,0.834426537156105
256,90,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8603565394878387,0.8649672120809555
256,120,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8602470010519028,0.8652656674385071
64,90,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8584089428186417,0.8528331369161606
128,90,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8581246435642242,0.8585768938064575
256,90,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8468508422374725,0.8463141769170761
64,120,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8449875116348267,0.8204940259456635
256,120,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8434561640024185,0.8429377973079681
64,120,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8360871076583862,0.8255440145730972
256,120,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8343325406312943,0.8497334867715836
128,120,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.8282092213630676,0.8485708087682724
128,120,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.827627032995224,0.8445357084274292
