hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
256,336,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8103944212198257,4930211.0,2220.407845419395,0.8891203663533493,1.0227970132680868,0.9425883293151855,-0.02703649647897102,0.9079212868636374,3.057108074426651,-1.896661344133,-2610.071660681148,,37.14570204416911
128,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8102516531944275,4933923.5,2221.2436831649065,0.7980343179372458,0.8327864092935018,0.9409732222557068,-0.027797083169671062,0.9033274013836443,-18.16633939743042,-11.913863827372607,-2944.452489121728,,32.68279830614726
128,168,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8078921139240265,4995277.0,2235.011633079345,0.8804633887504724,0.9623724559414144,0.9440644383430481,-0.02634135873742035,0.9012863621414892,-4.6622321009635925,-5.113100753096104,-2647.9958301182414,,32.07969268163045
256,168,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8061013668775558,5041841.0,2245.4044179167367,0.9018141712338317,1.021016629491153,0.9848924279212952,-0.00711449707150664,0.9052871734070951,2.2500047460198402,-2.2461360623478748,-2892.7704025138714,,32.97456900278728
64,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8045649081468582,5081792.5,2254.283145481064,0.8918742529782133,1.0551495731119822,0.9814386963844299,-0.008740953729555941,0.9088672410015138,3.6963261663913727,-14.411775706280155,-2818.875281440665,,33.12797943751018
64,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.8045271337032318,5082775.0,2254.501053448412,0.9004408974579228,1.0263820069874772,0.9852616786956787,-0.006940604911074652,0.9051380661623054,3.061576932668686,-3.93626959104073,-2702.5160835195334,,32.02859958012898
64,168,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.8011757582426071,5169919.0,2273.745588231014,0.8941063910340219,0.9717531528008416,0.9941258430480957,-0.002766283382554901,0.8981124820046573,-2.1298902109265327,-14.031075652830383,-2893.4250266092104,,27.70462433497111
64,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7924410253763199,5397043.5,2323.1537831146693,0.8512681894492519,0.9373416561542983,0.9189795255661011,-0.038154439219806394,0.8921539702227134,-7.39462822675705,-12.30630690566839,-2854.9432202273315,,36.26445134480794
128,168,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7913969904184341,5424191.0,2328.9892657545674,0.8859868064864667,1.0603810842865644,0.9963223934173584,-0.0017318835680909417,0.9033583518075332,9.213163703680038,-8.645567373942713,-2838.1943697497404,,33.89859596888225
256,336,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7909233868122101,5436506.0,2331.6316175588286,0.8690141521002441,0.9883494167622467,0.9226035475730896,-0.03644778725098518,0.8949697880990086,-0.07178161176852882,-5.5360795273209815,-2633.4991497570713,,28.990813096364338
256,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.790327787399292,5451993.0,2334.9503206706563,0.8957472466830092,1.0093087844076185,0.9985169768333435,-0.0006983934317790221,0.8961742625871939,1.0949959978461266,-10.639218823777732,-2895.05986332792,,30.877886215845745
64,336,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.790140375494957,5456866.0,2335.9935787582976,0.8698284615568229,1.0843785854485584,1.0332711935043335,0.015668200735134852,0.906630243541278,13.917076587677002,-10.939939874401922,-2526.160383571883,,32.39826361338298
256,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.789784163236618,5466128.5,2337.975299270717,0.8785965867121954,1.0189209225400435,0.9378539323806763,-0.029266021874025088,0.8974395118595002,3.052855283021927,-10.07986387683062,-2929.038269578579,,28.010201454162598
256,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7882568389177322,5505842.5,2346.4531744741894,0.8762179305035483,1.0504800515241706,0.9459570646286011,-0.025450065659611457,0.9007370851557125,6.040975823998451,-9.127108019218563,-2880.318443178114,,28.978087504704792
128,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7875024676322937,5525458.0,2350.6292774489134,0.8922751834410484,1.0258523827918002,1.0168218612670898,0.007921812492543033,0.8967851009293872,-0.638454407453537,-12.52921365462132,-2912.340497955722,,31.731295585632324
64,168,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7871833741664886,5533755.5,2352.39356826191,0.8808570714922598,1.001302084580151,1.054497480392456,0.025664127292125614,0.8940596081750662,0.9937519207596779,-18.34942457593249,-2821.888307135584,,33.716706434885666
128,168,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7824042737483978,5658024.0,2378.660127046317,0.8848813303748209,1.0520886497637614,1.0106055736541748,0.004994420321482174,0.8978892636912004,5.903749540448189,-2.31937192529451,-2520.401477725978,,28.6951740582784
256,168,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7808715105056763,5697879.5,2387.023146096409,0.886042961154533,1.04657868131906,0.9913604855537415,-0.00406855947389578,0.8963564187267845,5.0597697496414185,-14.30775511098844,-2794.9835388476304,,30.431958039601643
64,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7775751948356628,5783592.0,2404.9099775251466,0.7840369309724857,0.8416857427771076,0.910114049911499,-0.042329383159693326,0.8838227254561623,-15.888948738574982,-10.669658736469911,-2872.0831529792085,,26.47971510887146
256,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7757689654827118,5830558.0,2414.6548407588193,0.8821559018353249,1.0529059237666727,1.0056360960006714,0.002654153580866653,0.894850444011818,5.072528123855591,-4.639797466195105,-2912.857867214413,,30.086708068847656
64,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7702480554580688,5974115.0,2444.2002782096233,0.8816687960919511,1.0067968278852548,1.0310909748077393,0.014641461368267017,0.8860288271775227,0.7170863449573517,-9.409323748470413,-2936.422454443381,,33.95427465438843
256,168,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.767081543803215,6056452.5,2460.9860828537817,0.8381612281595334,1.123087114418552,1.0409119129180908,0.019266360848831217,0.9032138144344583,12.96321451663971,-5.251679940267424,-2911.0732409707766,,32.56918589274089
128,168,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7596226036548615,6250403.0,2500.0805987007698,0.8667260928711055,1.0676798630005553,0.9682058095932007,-0.014972632093406902,0.8896800112309493,8.996045589447021,-11.14870901758592,-2920.858132008098,,34.05112028121948
64,168,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7488678097724915,6530054.5,2555.39713156292,0.8730651100610561,1.0328379449547047,1.0197635889053345,0.009307156562504368,0.8789895202532255,3.111846372485161,-15.672723706995919,-2732.9857171538624,,33.23441346486409
64,336,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7348776757717133,6893832.5,2625.610881299817,0.8170397446678009,1.1162649113006349,1.086147427558899,0.0405688207909144,0.8880377467337173,14.943264424800873,-11.118211634951592,-2827.4352200659805,,32.87225365638733
64,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7185214459896088,7319134.5,2705.3898979629535,0.8401689840594725,0.9762407387582452,0.9334740042686462,-0.03132864526707863,0.8566272583306747,-3.1826045364141464,-12.76890162668208,-2911.8792214270775,,38.15317153930664
