hidden_size,seq_length,num_layers,epochs,output_dropout,avg NSE,avg MSE,avg RMSE,avg KGE,avg Alpha-NSE,avg Beta-KGE,avg Beta-NSE,avg Pearson-r,avg FHV,avg FMS,avg FLV,avg Peak-Timing,avg Peak-MAPE
256,90,2,32,0.4,0.6061942875385284,13554562.78125,3239.0112827862777,0.6612175122222296,0.9854491949081421,1.0898955315351486,0.047903644386678934,0.8259300995206085,-25.57112416252494,569.9100643916361,-555.7241942093905,0.75,49.61820840835571
128,180,2,16,0.4,0.5923264473676682,15808410.375,3381.3197626616547,0.5598444308374023,0.8050352036952972,0.910258874297142,-0.024834753945469856,0.7910962294848458,-39.760882407426834,352.5175372075011,-1065.911526993802,1.25,60.43713241815567
256,90,1,32,0.4,0.5882390290498734,14142085.875,3285.7294394961386,0.6228358525735617,0.9954654574394226,1.1416734755039215,0.06873071129666641,0.8243715904504993,-23.349716933444142,534.6304564517284,-778.0171149891122,0.75,49.24027919769287
256,180,1,32,0.4,0.5806647315621376,16820333.15625,3454.2845260633267,0.6366417355152348,0.8970545902848244,1.176294893026352,0.0803931262344122,0.7823889135822049,-32.26521946489811,32.575010820575734,-1467.1461780385064,0.75,56.503042578697205
128,180,1,32,0.4,0.5659833028912544,16754118.6875,3467.700262751597,0.6025756191443187,0.8215838074684143,1.1082545071840286,0.05742448382079601,0.774057503278463,-39.62938115000725,342.77254022239754,-1414.1697772481311,0.75,60.0660540163517
256,180,2,32,0.4,0.5621939450502396,17071329.46875,3519.6936755361767,0.5954687556417181,0.8846384510397911,1.159467101097107,0.07361781736835837,0.785532484368568,-33.50831102579832,39.12158316137754,-1388.7988652224067,1.0,58.33367630839348
256,180,2,16,0.4,0.5583350360393524,17170487.5625,3524.9662270223052,0.5806752304094391,0.8757219091057777,1.0940420776605606,0.06199973961338401,0.7773705940133239,-35.4700181633234,356.20874066136093,-1420.3028204946727,0.75,59.39875841140747
128,90,2,32,0.4,0.554475948214531,14095900.875,3350.166556052446,0.6184070869669839,1.0379863232374191,1.2145818769931793,0.10154667776077986,0.8088960250238331,-19.501765351742506,282.1410496292731,-948.3373999230383,0.75,46.42016887664795
128,90,2,16,0.4,0.5516352951526642,13897316.0,3348.602645381148,0.6275668625174494,1.0557702481746674,1.1451260149478912,0.06921130744740367,0.8197028517417905,-21.523792389780283,753.7041667728411,-145.41036649267386,0.75,46.35533466935158
128,180,2,32,0.4,0.5410606935620308,16454499.625,3510.56272193145,0.5896020391017676,0.934450589120388,1.1630430072546005,0.07724275230430067,0.7842679740287383,-31.927390524651855,42.49287663187756,-877.736360490681,1.0,57.37559571862221
128,90,1,16,0.4,0.5262853875756264,15865963.9375,3481.9199075932092,0.5152103306193786,1.0020301565527916,1.2796241343021393,0.12696130480617285,0.8068893460516199,-23.65606934763491,32.1472888733553,-1303.7274139166168,0.75,47.93148264288902
128,180,1,16,0.4,0.5151123404502869,17594728.5,3619.8538048493783,0.6130890533979014,0.916197657585144,1.1256319731473923,0.06221888726577163,0.756554474697149,-36.65350154042244,581.4454383056691,-472.9577629006633,0.75,60.2153941988945
128,90,1,32,0.4,0.5067083090543747,14630061.9375,3433.924763492616,0.5915881741948517,1.0912906229496002,1.1721993386745453,0.07740864512743428,0.8101585206346602,-19.434422021731734,553.77855580106,-317.86751202151885,0.75,45.90337574481964
256,90,1,16,0.4,0.5032850503921509,15943644.4375,3587.4095602455686,0.5112620528079022,1.0643230378627777,1.3077652752399445,0.14866365864872932,0.8065541530513157,-19.819601345807314,540.5007801449419,-859.899942225161,0.75,49.569543451070786
256,180,1,16,0.4,0.49241169542074203,17210735.875,3611.6866922038507,0.5877115760226692,0.963540755212307,1.0957261323928833,0.05001283413730562,0.7708083754995183,-32.814835698809475,557.661934085203,-357.37537264132027,0.75,56.71486333012581
256,90,2,16,0.4,0.46337979286909103,17017127.0,3674.6043091561696,0.5199368026087389,1.0406822711229324,1.1870196759700775,0.0959897181019187,0.7750099285441148,-19.776501506567,377.8634031893412,-727.7688493902385,1.5,51.20283141732216
