hidden_size,seq_length,num_layers,epochs,output_dropout,avg NSE,avg MSE,avg RMSE,avg KGE,avg Alpha-NSE,avg Beta-KGE,avg Beta-NSE,avg Pearson-r,avg FHV,avg FMS,avg FLV,avg Peak-Timing,avg Peak-MAPE,model_type
256.0,336.0,1.0,32.0,0.4,0.8282251078635454,3680212.03125,1851.030585465332,0.7518225615662223,0.9542530030012131,1.0962572395801544,0.0487055778503418,0.9209423162297925,-9.322922304272652,-2.826577443456212,-3166.9886021982684,,40.8885863257779,no_physics
128.0,168.0,1.0,32.0,0.4,0.9101311340928078,2484275.609375,1473.321538647655,0.7875213884343853,1.0483106672763824,1.1120434552431107,0.052212520968168974,0.9693910603737552,5.6764754466712475,-7.921814194034926,-2517.0295605374117,,18.822203137808376,physics
