hidden_size,seq_length_1D,seq_length_1H,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE_1D,NSE_1H
64,90,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7043946385383606,0.7595536559820175
256,120,336,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7025990188121796,0.8631189465522766
128,120,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7008858025074005,0.7831520736217499
64,90,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.6968767940998077,0.7513599097728729
128,90,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.6944437623023987,0.7686672508716583
256,90,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.6933201551437378,0.8290531784296036
256,120,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.692176878452301,0.8185986876487732
64,120,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.6915617287158966,0.7329888045787811
128,120,336,1,32,64,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.6893507838249207,0.7830620259046555
256,120,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.688582718372345,0.8237320631742477
64,120,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.6863351762294769,0.6893190741539001
128,120,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.6838358044624329,0.7521814256906509
64,90,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.6834096014499664,0.7205834090709686
64,120,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.6818125545978546,0.6488977670669556
128,90,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.6790906190872192,0.7971686869859695
128,90,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.6743141114711761,0.76685830950737
64,120,168,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.6672234237194061,0.7229051887989044
128,120,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.6652959585189819,0.761028841137886
256,120,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.6608639657497406,0.7635668367147446
256,120,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.65073361992836,0.769849106669426
128,90,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.64267298579216,0.7615306824445724
256,90,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.6377248167991638,0.8144212067127228
256,90,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.636066734790802,0.7878818660974503
128,120,168,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.6358305513858795,0.7605816572904587
128,90,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.6338653266429901,0.7179571986198425
64,90,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.6319185197353363,0.7544818669557571
64,120,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.6102767586708069,0.6647448241710663
