Col Number,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
   Ordinate,Date,Time,Guerneville Gage FLOW,Big Sulphur Cr ET-POTENTIAL,Big Sulphur Cr FLOW,Big Sulphur Cr FLOW-BASE,Big Sulphur Cr INFILTRATION,Big Sulphur Cr PERC-SOIL,Big Sulphur Cr SATURATION FRACTION,Dry Creek 10 ET-POTENTIAL,Dry Creek 10 FLOW,Dry Creek 10 FLOW-BASE,Dry Creek 10 INFILTRATION,Dry Creek 10 PERC-SOIL,Dry Creek 10 SATURATION FRACTION,Green Valley ET-POTENTIAL,Green Valley FLOW,Green Valley FLOW-BASE,Green Valley INFILTRATION,Green Valley PERC-SOIL,Green Valley SATURATION FRACTION,Laguna ET-POTENTIAL,Laguna FLOW,Laguna FLOW-BASE,Laguna INFILTRATION,Laguna PERC-SOIL,Laguna SATURATION FRACTION,Russian 20 ET-POTENTIAL,Russian 20 FLOW,Russian 20 FLOW-BASE,Russian 20 INFILTRATION,Russian 20 PERC-SOIL,Russian 20 SATURATION FRACTION,Russian 30 ET-POTENTIAL,Russian 30 FLOW,Russian 30 FLOW-BASE,Russian 30 INFILTRATION,Russian 30 PERC-SOIL,Russian 30 SATURATION FRACTION,Russian 40 ET-POTENTIAL,Russian 40 FLOW,Russian 40 FLOW-BASE,Russian 40 INFILTRATION,Russian 40 PERC-SOIL,Russian 40 SATURATION FRACTION,Russian 50 ET-POTENTIAL,Russian 50 FLOW,Russian 50 FLOW-BASE,Russian 50 INFILTRATION,Russian 50 PERC-SOIL,Russian 50 SATURATION FRACTION,Russian 60 ET-POTENTIAL,Russian 60 FLOW,Russian 60 FLOW-BASE,Russian 60 INFILTRATION,Russian 60 PERC-SOIL,Russian 60 SATURATION FRACTION,Russian 70 ET-POTENTIAL,Russian 70 FLOW,Russian 70 FLOW-BASE,Russian 70 INFILTRATION,Russian 70 PERC-SOIL,Russian 70 SATURATION FRACTION,Santa Rosa Cr 10 ET-POTENTIAL,Santa Rosa Cr 10 FLOW,Santa Rosa Cr 10 FLOW-BASE,Santa Rosa Cr 10 INFILTRATION,Santa Rosa Cr 10 PERC-SOIL,Santa Rosa Cr 10 SATURATION FRACTION,Santa Rosa Cr 20 ET-POTENTIAL,Santa Rosa Cr 20 FLOW,Santa Rosa Cr 20 FLOW-BASE,Santa Rosa Cr 20 INFILTRATION,Santa Rosa Cr 20 PERC-SOIL,Santa Rosa Cr 20 SATURATION FRACTION,WF Russian ET-POTENTIAL,WF Russian FLOW,WF Russian FLOW-BASE,WF Russian INFILTRATION,WF Russian PERC-SOIL,WF Russian SATURATION FRACTION
Units, ,,CFS,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN,IN,CFS,CFS,IN,IN,IN/IN
Type, ,,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER,PER-CUM,PER-AVER,PER-AVER,PER-CUM,PER-CUM,PER-AVER
1,1-Oct-94,24:00:00,227.2199,0.0379,0,0,0,0,0,0.0444,0,0,0,0,0,0.0444,0,0,0,0,0,0.0444,0,0,0,0,0,0.0443,0,0,0,0,0,0.0444,0,0,0,0,0,0.0378,0,0,0,0,0,0.0379,0,0,0,0,0,0.0331,0,0,0,0,0,0.0331,0,0,0,0,0,0.0444,0,0,0,0,0,0.0444,0,0,0,0,0,0.0283,0,0,0,0,0
2,2-Oct-94,24:00:00,236.9499,0.0634,0,0,0,0,0,0.0627,0,0,0,0,0,0.0627,0,0,0,0,0,0.0627,0,0,0,0,0,0.0627,0,0,0,0,0,0.0627,0,0,0,0,0,0.0633,0,0,0,0,0,0.0633,0,0,0,0,0,0.0554,0,0,0,0,0,0.0554,0,0,0,0,0,0.0627,0,0,0,0,0,0.0628,0,0,0,0,0,0.0475,0,0,0,0,0
3,3-Oct-94,24:00:00,241.5989,0.0558,0,0,0,0,0,0.0536,0,0,0,0,0,0.0536,0,0,0,0,0,0.0537,0,0,0,0,0,0.0536,0,0,0,0,0,0.0536,0,0,0,0,0,0.0557,0,0,0,0,0,0.0557,0,0,0,0,0,0.0487,0,0,0,0,0,0.0487,0,0,0,0,0,0.0536,0,0,0,0,0,0.0537,0,0,0,0,0,0.0417,0,0,0,0,0
4,4-Oct-94,24:00:00,292.6814,0.015,1.4238,0,0.3127,0,0.0185,0.0149,1.4227,0,0.4412,0,0.0287,0.0149,6.4514,0,0.9602,0,0.0485,0.015,41.8573,0,0.7972,0,0.0402,0.0149,9.1424,0,0.624,0,0.0361,0.015,6.7396,0,0.5505,0,0.029,0.0149,4.6571,0,0.1557,0,0.0124,0.0149,0.5202,0,0.1931,0,0.0122,0.0131,0.2729,0,0.1088,0,0.006,0.013,0.6341,0,0.0163,0,0.0008,0.015,19.7911,0,0.6965,0,0.0395,0.015,104.7752,0,0.7699,0,0.0423,0.0112,0,0,0,0,0
5,5-Oct-94,24:00:00,880.0562,0.0306,1.3017,0,0,0,0.0447,0.0443,3.4129,0,0,0,0.0735,0.0443,30.8766,0,0,0,0.16,0.0443,163.0253,0,0,0,0.1329,0.0443,19.3897,0,0,0,0.104,0.0443,5.0826,0,0,0,0.0786,0.0305,1.5583,0,0,0,0.0222,0.0306,0.7469,0,0,0,0.0276,0.0267,0.3386,0,0,0,0.0155,0.0267,0.7336,0,0,0,0.0023,0.0443,58.7335,0,0,0,0.1161,0.0444,280.4417,0,0,0,0.1283,0.0229,0,0,0,0,0
6,6-Oct-94,24:00:00,415.631,0.0494,0.1286,0,0,0,0.0447,0.0486,0.8796,0,0,0,0.0735,0.0486,9.1236,0,0,0,0.16,0.0486,40.4676,0,0,0,0.1329,0.0486,3.4966,0,0,0,0.104,0.0486,0.2091,0,0,0,0.0786,0.0493,0.0581,0,0,0,0.0222,0.0493,0.1507,0,0,0,0.0276,0.0431,0.0221,0,0,0,0.0155,0.0431,0.0321,0,0,0,0.0023,0.0486,14.1997,0,0,0,0.1161,0.0487,58.3214,0,0,0,0.1283,0.0369,0,0,0,0,0
7,7-Oct-94,24:00:00,271.1915,0.0526,0.0009,0,0,0,0.0426,0.057,0.2249,0,0,0,0.0696,0.057,2.6132,0,0,0,0.1561,0.057,9.8585,0,0,0,0.129,0.057,0.6056,0,0,0,0.1001,0.057,0,0,0,0,0.0753,0.0525,0,0,0,0,0.0202,0.0525,0.0303,0,0,0,0.0255,0.0459,0,0,0,0,0.0146,0.0459,0,0,0,0,0.0014,0.057,3.4015,0,0,0,0.1122,0.0571,12.0185,0,0,0,0.1244,0.0393,0,0,0,0,0
8,8-Oct-94,24:00:00,232.256,0.0488,0,0,0,0,0.0364,0.0494,0.0475,0,0,0,0.061,0.0494,0.7479,0,0,0,0.1475,0.0494,1.9259,0,0,0,0.1203,0.0494,0.0006,0,0,0,0.0915,0.0494,0,0,0,0,0.0679,0.0487,0,0,0,0,0.014,0.0487,0.0009,0,0,0,0.0193,0.0426,0,0,0,0,0.0101,0.0425,0,0,0,0,0,0.0494,0.6049,0,0,0,0.1035,0.0495,0.911,0,0,0,0.1158,0.0364,0,0,0,0,0
9,9-Oct-94,24:00:00,221.0517,0.0466,0,0,0,0,0.0297,0.0353,0,0,0,0,0.0541,0.0354,0.0549,0,0,0,0.1406,0.0354,0,0,0,0,0.1134,0.0353,0,0,0,0,0.0845,0.0354,0,0,0,0,0.0619,0.0465,0,0,0,0,0.0074,0.0465,0,0,0,0,0.0127,0.0406,0,0,0,0,0.0043,0.0406,0,0,0,0,0,0.0354,0,0,0,0,0.0966,0.0354,0,0,0,0,0.1088,0.0348,0,0,0,0,0
10,10-Oct-94,24:00:00,219.0624,0.0474,0,0,0,0,0.0228,0.0364,0,0,0,0,0.0482,0.0364,0,0,0,0,0.1347,0.0364,0,0,0,0,0.1076,0.0364,0,0,0,0,0.0787,0.0364,0,0,0,0,0.0569,0.0474,0,0,0,0,0.0017,0.0474,0,0,0,0,0.0058,0.0414,0,0,0,0,0.0005,0.0414,0,0,0,0,0,0.0364,0,0,0,0,0.0908,0.0365,0,0,0,0,0.103,0.0355,0,0,0,0,0
11,11-Oct-94,24:00:00,222.0087,0.0421,0,0,0,0,0.0165,0.0406,0,0,0,0,0.0418,0.0407,0,0,0,0,0.1283,0.0407,0,0,0,0,0.1011,0.0406,0,0,0,0,0.0723,0.0407,0,0,0,0,0.0514,0.0419,0,0,0,0,0,0.0419,0,0,0,0,0.001,0.0367,0,0,0,0,0,0.0366,0,0,0,0,0,0.0407,0,0,0,0,0.0843,0.0407,0,0,0,0,0.0965,0.0314,0,0,0,0,0
12,12-Oct-94,24:00:00,235.3604,0.0502,0,0,0,0,0.0099,0.0642,0,0,0,0,0.0331,0.0642,0,0,0,0,0.1196,0.0642,0,0,0,0,0.0924,0.0642,0,0,0,0,0.0635,0.0642,0,0,0,0,0.0439,0.0501,0,0,0,0,0,0.0501,0,0,0,0,0,0.0438,0,0,0,0,0,0.0438,0,0,0,0,0,0.0642,0,0,0,0,0.0756,0.0643,0,0,0,0,0.0878,0.0375,0,0,0,0,0
13,13-Oct-94,24:00:00,247.3757,0.0514,0,0,0,0,0.0031,0.0582,0,0,0,0,0.023,0.0583,0,0,0,0,0.1095,0.0583,0,0,0,0,0.0823,0.0582,0,0,0,0,0.0535,0.0583,0,0,0,0,0.0353,0.0512,0,0,0,0,0,0.0513,0,0,0,0,0,0.0448,0,0,0,0,0,0.0448,0,0,0,0,0,0.0583,0,0,0,0,0.0655,0.0583,0,0,0,0,0.0777,0.0384,0,0,0,0,0
14,14-Oct-94,24:00:00,236.6211,0.0467,0,0,0,0,0,0.0606,0,0,0,0,0.0134,0.0607,0,0,0,0,0.0999,0.0607,0,0,0,0,0.0727,0.0606,0,0,0,0,0.0439,0.0607,0,0,0,0,0.0271,0.0466,0,0,0,0,0,0.0466,0,0,0,0,0,0.0407,0,0,0,0,0,0.0407,0,0,0,0,0,0.0607,0,0,0,0,0.0559,0.0607,0,0,0,0,0.0681,0.0349,0,0,0,0,0
15,15-Oct-94,24:00:00,219.0553,0.0517,0,0,0,0,0,0.0658,0,0,0,0,0.0033,0.0658,0,0,0,0,0.0887,0.0659,0,0,0,0,0.0615,0.0658,0,0,0,0,0.0327,0.0659,0,0,0,0,0.0174,0.0516,0,0,0,0,0,0.0516,0,0,0,0,0,0.0451,0,0,0,0,0,0.045,0,0,0,0,0,0.0659,0,0,0,0,0.0447,0.0659,0,0,0,0,0.0569,0.0386,0,0,0,0,0
16,16-Oct-94,24:00:00,211.9485,0.0448,0,0,0,0,0,0.0579,0,0,0,0,0,0.058,0,0,0,0,0.0785,0.058,0,0,0,0,0.0513,0.0579,0,0,0,0,0.0225,0.058,0,0,0,0,0.0087,0.0448,0,0,0,0,0,0.0448,0,0,0,0,0,0.039,0,0,0,0,0,0.039,0,0,0,0,0,0.058,0,0,0,0,0.0345,0.058,0,0,0,0,0.0467,0.0334,0,0,0,0,0
17,17-Oct-94,24:00:00,211.2412,0.0308,0,0,0,0,0,0.0378,0,0,0,0,0,0.0365,0,0,0,0,0.0706,0.0365,0,0,0,0,0.0434,0.0378,0,0,0,0,0.0145,0.0365,0,0,0,0,0.0022,0.0306,0,0,0,0,0,0.0307,0,0,0,0,0,0.0268,0,0,0,0,0,0.0267,0,0,0,0,0,0.0365,0,0,0,0,0.0266,0.0365,0,0,0,0,0.0388,0.0229,0,0,0,0,0
18,18-Oct-94,24:00:00,213.5582,0.0456,0,0,0,0,0,0.0473,0,0,0,0,0,0.0468,0,0,0,0,0.0636,0.0468,0,0,0,0,0.0364,0.0473,0,0,0,0,0.0073,0.0468,0,0,0,0,0,0.0456,0,0,0,0,0,0.0456,0,0,0,0,0,0.0399,0,0,0,0,0,0.0399,0,0,0,0,0,0.0468,0,0,0,0,0.0196,0.0468,0,0,0,0,0.0318,0.0342,0,0,0,0,0
19,19-Oct-94,24:00:00,221.1285,0.0437,0,0,0,0,0,0.0349,0,0,0,0,0,0.0349,0,0,0,0,0.0569,0.0349,0,0,0,0,0.0297,0.0349,0,0,0,0,0.0016,0.0349,0,0,0,0,0,0.0437,0,0,0,0,0,0.0437,0,0,0,0,0,0.0382,0,0,0,0,0,0.0382,0,0,0,0,0,0.0349,0,0,0,0,0.0129,0.0349,0,0,0,0,0.0251,0.0327,0,0,0,0,0
20,20-Oct-94,24:00:00,218.7976,0.0388,0,0,0,0,0,0.0378,0,0,0,0,0,0.0378,0,0,0,0,0.0509,0.0378,0,0,0,0,0.0236,0.0378,0,0,0,0,0,0.0378,0,0,0,0,0,0.0388,0,0,0,0,0,0.0388,0,0,0,0,0,0.034,0,0,0,0,0,0.034,0,0,0,0,0,0.0378,0,0,0,0,0.0069,0.0378,0,0,0,0,0.019,0.0291,0,0,0,0,0
21,21-Oct-94,24:00:00,211.8634,0.0404,0,0,0,0,0,0.0474,0,0,0,0,0,0.0474,0,0,0,0,0.0437,0.0474,0,0,0,0,0.0165,0.0474,0,0,0,0,0,0.0474,0,0,0,0,0,0.0404,0,0,0,0,0,0.0404,0,0,0,0,0,0.0353,0,0,0,0,0,0.0353,0,0,0,0,0,0.0474,0,0,0,0,0.0015,0.0474,0,0,0,0,0.0119,0.0303,0,0,0,0,0
22,22-Oct-94,24:00:00,220.0372,0.0378,0,0,0,0,0,0.0459,0,0,0,0,0,0.0459,0,0,0,0,0.0359,0.0459,0,0,0,0,0.0087,0.0459,0,0,0,0,0,0.0459,0,0,0,0,0,0.0378,0,0,0,0,0,0.0378,0,0,0,0,0,0.0331,0,0,0,0,0,0.0331,0,0,0,0,0,0.0459,0,0,0,0,0,0.0459,0,0,0,0,0.0041,0.0284,0,0,0,0,0
23,23-Oct-94,24:00:00,231.15,0.045,0,0,0,0,0,0.0476,0,0,0,0,0,0.0476,0,0,0,0,0.0281,0.0476,0,0,0,0,0.0021,0.0476,0,0,0,0,0,0.0476,0,0,0,0,0,0.045,0,0,0,0,0,0.045,0,0,0,0,0,0.0393,0,0,0,0,0,0.0393,0,0,0,0,0,0.0476,0,0,0,0,0,0.0476,0,0,0,0,0.0001,0.0337,0,0,0,0,0
24,24-Oct-94,24:00:00,236.862,0.0366,0,0,0,0,0,0.0407,0,0,0,0,0,0.0408,0,0,0,0,0.0207,0.0408,0,0,0,0,0,0.0407,0,0,0,0,0,0.0408,0,0,0,0,0,0.0365,0,0,0,0,0,0.0365,0,0,0,0,0,0.0319,0,0,0,0,0,0.0319,0,0,0,0,0,0.0408,0,0,0,0,0,0.0408,0,0,0,0,0,0.0273,0,0,0,0,0
25,25-Oct-94,24:00:00,240.5401,0.0235,0,0,0,0,0,0.0226,0,0,0,0,0,0.0226,0,0,0,0,0.0155,0.0226,0,0,0,0,0,0.0226,0,0,0,0,0,0.0226,0,0,0,0,0,0.0234,0,0,0,0,0,0.0234,0,0,0,0,0,0.0205,0,0,0,0,0,0.0205,0,0,0,0,0,0.0226,0,0,0,0,0,0.0226,0,0,0,0,0,0.0175,0,0,0,0,0
26,26-Oct-94,24:00:00,247.759,0.0245,0,0,0,0,0,0.0238,0,0,0,0,0,0.0239,0,0,0,0,0.0116,0.0239,0,0,0,0,0,0.0238,0,0,0,0,0,0.0239,0,0,0,0,0,0.0244,0,0,0,0,0,0.0244,0,0,0,0,0,0.0213,0,0,0,0,0,0.0213,0,0,0,0,0,0.0239,0,0,0,0,0,0.0239,0,0,0,0,0,0.0183,0,0,0,0,0
27,27-Oct-94,24:00:00,250.3053,0.0252,0,0,0,0,0,0.0332,0,0,0,0,0,0.0333,0,0,0,0,0.0069,0.0333,0,0,0,0,0,0.0332,0,0,0,0,0,0.0333,0,0,0,0,0,0.0251,0,0,0,0,0,0.0251,0,0,0,0,0,0.0219,0,0,0,0,0,0.0219,0,0,0,0,0,0.0333,0,0,0,0,0,0.0333,0,0,0,0,0,0.0188,0,0,0,0,0
28,28-Oct-94,24:00:00,250.7581,0.0335,0,0,0,0,0,0.0369,0,0,0,0,0,0.0369,0,0,0,0,0.0018,0.0369,0,0,0,0,0,0.0369,0,0,0,0,0,0.0369,0,0,0,0,0,0.0334,0,0,0,0,0,0.0334,0,0,0,0,0,0.0292,0,0,0,0,0,0.0292,0,0,0,0,0,0.0369,0,0,0,0,0,0.037,0,0,0,0,0,0.025,0,0,0,0,0
29,29-Oct-94,24:00:00,254.986,0.035,0,0,0,0,0,0.0344,0,0,0,0,0,0.0344,0,0,0,0,0,0.0344,0,0,0,0,0,0.0344,0,0,0,0,0,0.0344,0,0,0,0,0,0.035,0,0,0,0,0,0.035,0,0,0,0,0,0.0306,0,0,0,0,0,0.0305,0,0,0,0,0,0.0344,0,0,0,0,0,0.0345,0,0,0,0,0,0.0262,0,0,0,0,0
30,30-Oct-94,24:00:00,256.6351,0.0343,0,0,0,0,0,0.0348,0,0,0,0,0,0.0348,0,0,0,0,0,0.0348,0,0,0,0,0,0.0348,0,0,0,0,0,0.0348,0,0,0,0,0,0.0342,0,0,0,0,0,0.0342,0,0,0,0,0,0.0299,0,0,0,0,0,0.0299,0,0,0,0,0,0.0348,0,0,0,0,0,0.0348,0,0,0,0,0,0.0256,0,0,0,0,0
31,31-Oct-94,24:00:00,251.9975,0.0269,0,0,0,0,0,0.0312,0,0,0,0,0,0.0312,0,0,0,0,0,0.0312,0,0,0,0,0,0.0312,0,0,0,0,0,0.0312,0,0,0,0,0,0.0268,0,0,0,0,0,0.0268,0,0,0,0,0,0.0234,0,0,0,0,0,0.0234,0,0,0,0,0,0.0312,0,0,0,0,0,0.0312,0,0,0,0,0,0.02,0,0,0,0,0
32,1-Nov-94,24:00:00,237.0389,0.0193,0,0,0,0,0,0.0214,0,0,0,0,0,0.0215,0,0,0,0,0,0.0215,0,0,0,0,0,0.0214,0,0,0,0,0,0.0215,0,0,0,0,0,0.0193,0,0,0,0,0,0.0193,0,0,0,0,0,0.0169,0,0,0,0,0,0.0169,0,0,0,0,0,0.0215,0,0,0,0,0,0.0215,0,0,0,0,0,0.0144,0,0,0,0,0
33,2-Nov-94,24:00:00,220.8389,0.0346,0,0,0,0,0,0.0446,0,0,0,0,0,0.0446,0,0,0,0,0,0.0446,0,0,0,0,0,0.0446,0,0,0,0,0,0.0446,0,0,0,0,0,0.0345,0,0,0,0,0,0.0345,0,0,0,0,0,0.0301,0,0,0,0,0,0.0301,0,0,0,0,0,0.0446,0,0,0,0,0,0.0447,0,0,0,0,0,0.0258,0,0,0,0,0
34,3-Nov-94,24:00:00,211.1506,0.0291,0,0,0,0,0,0.0342,0,0,0,0,0,0.0342,0,0,0,0,0,0.0343,0,0,0,0,0,0.0342,0,0,0,0,0,0.0342,0,0,0,0,0,0.029,0,0,0,0,0,0.029,0,0,0,0,0,0.0254,0,0,0,0,0,0.0254,0,0,0,0,0,0.0342,0,0,0,0,0,0.0343,0,0,0,0,0,0.0217,0,0,0,0,0
35,4-Nov-94,24:00:00,206.0927,0.0142,0.0292,0,0.1939,0,0.0015,0.0173,0.0228,0,0.3719,0,0.0032,0.0173,0.0377,0,0.4155,0,0.0026,0.0173,0.2283,0,0.3208,0,0.0019,0.0173,0.0965,0,0.3124,0,0.0023,0.0173,0.1456,0,0.2493,0,0.0017,0.0141,0.4231,0,0.3074,0,0.0026,0.0141,0.0451,0,0.3947,0,0.0044,0.0124,0.1814,0,0.5978,0,0.0097,0.0124,7.5287,0,0.8585,0,0.017,0.0173,0.0837,0,0.2504,0,0.0015,0.0173,0.3471,0,0.22,0,0.0012,0.0106,15.1912,0,1.176713,0,0.025304
36,5-Nov-94,24:00:00,1207.7543,0.0094,10.9051,0,1.6463,0,0.1734,0.0067,15.9056,0,2.0625,0,0.2866,0.0067,70.1772,0,2.7898,0,0.3586,0.0067,399.1154,0,2.3474,0,0.295,0.0067,68.0902,0,2.0503,0,0.267,0.0067,34.3432,0,1.9046,0,0.2023,0.0093,57.774,0,1.579,0,0.193,0.0093,6.7381,0,1.1986,0,0.1671,0.0082,6.5155,0,0.9044,0,0.1725,0.0082,102.6193,0,0.6104,0,0.1874,0.0067,149.7681,0,2.1132,0,0.2547,0.0067,691.631,0,2.1829,0,0.2537,0.007,56.4535,0,0.429635,0,0.215197
37,6-Nov-94,24:00:00,1922.1431,0.0099,6.6649,0,0.1705,0,0.2853,0.009,13.6214,0,0.1015,0,0.4217,0.009,75.0415,0,0.2175,0,0.5683,0.009,388.3611,0,0.1907,0,0.4746,0.009,51.9989,0,0.1656,0,0.4195,0.009,15.8931,0,0.1865,0,0.3323,0.0099,20.7284,0,0.0963,0,0.2824,0.0099,4.9964,0,0.1616,0,0.2489,0.0086,2.6222,0,0.1367,0,0.2326,0.0086,23.9639,0,0.105,0,0.2237,0.009,154.0106,0,0.2049,0,0.4256,0.009,687.4033,0,0.2652,0,0.4393,0.0074,3.7427,0,0.021861,0,0.232406
38,7-Nov-94,24:00:00,780.4075,0.0246,0.7315,0,0,0,0.2872,0.0267,3.7492,0,0,0,0.4227,0.0267,23.8223,0,0,0,0.5705,0.0267,105.0828,0,0,0,0.4765,0.0267,10.4127,0,0,0,0.4214,0.0267,0.77,0,0,0,0.3343,0.0245,0.9716,0,0,0,0.2832,0.0245,1.1609,0,0,0,0.2507,0.0214,0.2212,0,0,0,0.2341,0.0214,1.3974,0,0,0,0.2248,0.0267,41.4874,0,0,0,0.4281,0.0267,166.8789,0,0,0,0.4447,0.0183,0,0,0,0,0.232601
39,8-Nov-94,24:00:00,332.7066,0.0247,0.0295,0,0,0,0.2872,0.0217,0.9583,0,0,0,0.4227,0.0218,6.8233,0,0,0,0.5705,0.0218,25.5387,0,0,0,0.4765,0.0217,1.5789,0,0,0,0.4214,0.0218,0.0002,0,0,0,0.3343,0.0246,0.0004,0,0,0,0.2832,0.0246,0.2139,0,0,0,0.2507,0.0215,0.0047,0,0,0,0.2341,0.0214,0.0058,0,0,0,0.2248,0.0218,9.8995,0,0,0,0.4281,0.0218,32.8266,0,0,0,0.4447,0.0183,0,0,0,0,0.232601
40,9-Nov-94,24:00:00,531.5131,0.0082,11.2312,0,1.7219,0,0.45,0.0077,13.1128,0,2.0315,0,0.6471,0.0077,17.4518,0,0.7619,0,0.6483,0.0077,81.1005,0,0.5473,0,0.5305,0.0077,43.4147,0,1.4571,0,0.5794,0.0077,27.716,0,1.5775,0,0.4796,0.0082,60.7054,0,1.8595,0,0.4627,0.0082,7.5206,0,1.7533,0,0.4247,0.0071,7.3925,0,1.701,0,0.4045,0.0071,115.8051,0,1.6798,0,0.394,0.0077,68.9483,0,1.0272,0,0.5365,0.0077,279.9405,0,0.9186,0,0.5392,0.0061,79.4394,0,1.741348,0,0.408377
41,10-Nov-94,24:00:00,853.9073,0.0194,4.1155,0,0,0,0.5332,0.0193,10.9815,0,0,0,0.7612,0.0193,17.2853,0,0,0,0.6974,0.0193,75.7184,0,0,0,0.5677,0.0193,27.239,0,0,0,0.6643,0.0193,6.58,0,0,0,0.5597,0.0193,13.8032,0,0,0,0.5489,0.0193,4.5631,0,0,0,0.5012,0.0169,2.3854,0,0,0,0.4771,0.0168,28.0108,0,0,0,0.4648,0.0193,57.6776,0,0,0,0.5993,0.0194,214.4916,0,0,0,0.5978,0.0144,1.1864,0,0,0,0.481365
42,11-Nov-94,24:00:00,437.8061,0.0125,0.3767,0,0,0,0.5332,0.0253,2.8074,0,0,0,0.7612,0.0254,4.9148,0,0,0,0.6974,0.0254,18.4431,0,0,0,0.5677,0.0253,4.902,0,0,0,0.6643,0.0254,0.1825,0,0,0,0.5597,0.0125,0.4233,0,0,0,0.5489,0.0125,0.9207,0,0,0,0.5012,0.0109,0.1286,0,0,0,0.4771,0.0109,0.8187,0,0,0,0.4648,0.0254,13.8159,0,0,0,0.5993,0.0254,44.2013,0,0,0,0.5978,0.0093,0,0,0,0,0.481365
43,12-Nov-94,24:00:00,248.4554,0.0278,0,0,0,0,0.5332,0.0277,0.7177,0,0,0,0.7612,0.0277,1.4077,0,0,0,0.6974,0.0278,4.493,0,0,0,0.5677,0.0277,0.6995,0,0,0,0.6643,0.0277,0,0,0,0,0.5597,0.0277,0,0,0,0,0.5489,0.0277,0.1693,0,0,0,0.5012,0.0242,0,0,0,0,0.4771,0.0242,0,0,0,0,0.4648,0.0278,3.3096,0,0,0,0.5993,0.0278,8.7868,0,0,0,0.5978,0.0207,0,0,0,0,0.481365
44,13-Nov-94,24:00:00,188.8781,0.0236,0,0,0,0,0.5332,0.0274,0.1098,0,0,0,0.7612,0.0274,0.3698,0,0,0,0.6973,0.0274,0.5895,0,0,0,0.5676,0.0274,0,0,0,0,0.6643,0.0274,0,0,0,0,0.5597,0.0235,0,0,0,0,0.5489,0.0235,0.0003,0,0,0,0.5012,0.0205,0,0,0,0,0.4771,0.0205,0,0,0,0,0.4648,0.0274,0.3544,0,0,0,0.5992,0.0274,0.051,0,0,0,0.5977,0.0175,0,0,0,0,0.481365
45,14-Nov-94,24:00:00,177.4597,0.0276,0,0,0,0,0.5327,0.0289,0,0,0,0,0.7591,0.0289,0,0,0,0,0.6949,0.029,0,0,0,0,0.5651,0.0289,0,0,0,0,0.6621,0.0289,0,0,0,0,0.5578,0.0275,0,0,0,0,0.5485,0.0275,0,0,0,0,0.5007,0.024,0,0,0,0,0.4771,0.024,0,0,0,0,0.4648,0.0289,0,0,0,0,0.5969,0.029,0,0,0,0,0.5954,0.0206,0,0,0,0,0.481365
46,15-Nov-94,24:00:00,426.1006,0.0152,4.419,0,0.6879,0,0.5939,0.0164,4.7873,0,0.7434,0,0.8378,0.0165,21.3693,0,0.9657,0,0.7964,0.0165,118.7857,0,0.7653,0,0.6446,0.0164,22.118,0,0.7368,0,0.7386,0.0165,11.5486,0,0.6523,0,0.6148,0.0152,20.769,0,0.6341,0,0.6067,0.0152,2.0902,0,0.518,0,0.5469,0.0132,2.0272,0,0.482,0,0.5223,0.0132,33.9918,0,0.5021,0,0.5127,0.0165,43.8144,0,0.6573,0,0.6638,0.0165,198.2496,0,0.6369,0,0.6597,0.0113,24.0602,0,0.525046,0,0.532873
